uid;Shape_Leng;from;to;y_start;x_start;y_end;x_end
1041;87.09047435;'36.314181891264,59.648804383594';'36.313714424459,59.6495830074719';36.31418189;59.64880438;36.31371442;59.64958301
1042;250.0097945;'36.3154725732252,59.6465237511249';'36.314181891264,59.648804383594';36.31547257;59.64652375;36.31418189;59.64880438
1043;79.5226448;'36.3158673801495,59.6457850428741';'36.3154725732252,59.6465237511249';36.31586738;59.64578504;36.31547257;59.64652375
1044;759.0107446;'36.3196102603547,59.6387134990978';'36.3158673801495,59.6457850428741';36.31961026;59.6387135;36.31586738;59.64578504
1045;227.4777291;'36.3207060096692,59.6365736418706';'36.3196102603547,59.6387134990978';36.32070601;59.63657364;36.31961026;59.6387135
1046;199.9213769;'36.3216521724814,59.6346797455148';'36.3207060096692,59.6365736418706';36.32165217;59.63467975;36.32070601;59.63657364
1047;165.4964371;'36.299621167854,59.6635679619296';'36.2984001829838,59.6625108472823';36.29962117;59.66356796;36.29840018;59.66251085
1048;360.5048314;'36.2963924116724,59.6613941825344';'36.2932336671507,59.6604608617956';36.29639744;59.661373;36.29323904;59.66044454
1049;619.2518735;'36.2859056781033,59.658074055967';'36.2806442961216,59.6557823481724';36.28590568;59.65807406;36.2806443;59.65578235
1050;273.7580654;'36.2882610594614,59.6589757751839';'36.2859056781031,59.6580740559781';36.28826106;59.65897578;36.28590568;59.65807406
1051;300.4282571;'36.290883557988,59.6598012362431';'36.2882610594614,59.6589757751839';36.29088356;59.65980124;36.28826106;59.65897578
1052;267.506754;'36.2932336671507,59.6604608617956';'36.2908835579878,59.6598012362542';36.29323367;59.66046086;36.29088356;59.65980124
1053;294.4201011;'36.2806442961216,59.6557823481724';'36.2780293391958,59.6555521336459';36.2806443;59.65578235;36.27802934;59.65555213
1054;115.1378954;'36.2780293391958,59.6555521336459';'36.2770212610721,59.6558500631815';36.27802934;59.65555213;36.27702126;59.65585006
1055;307.3627926;'36.2770212611622,59.6558500631845';'36.2744309116616,59.6570451331591';36.27702126;59.65585006;36.27443091;59.65704513
1056;584.5647841;'36.274430904481,59.6570451358874';'36.2693915553547,59.6563900206939';36.2744309;59.65704514;36.26939156;59.65639002
1057;606.0872126;'36.2693915553547,59.6563900206939';'36.264854387525,59.6526384006918';36.26939156;59.65639002;36.26485439;59.6526384
1058;51.4192668;'36.3051781294674,59.6639397396129';'36.3048834251873,59.6643805185539';36.30517813;59.66393974;36.30488343;59.66438052
1059;304.944826;'36.3019467342865,59.6653455609863';'36.299621167854,59.6635679619296';36.30194673;59.66534556;36.29962117;59.66356796
1060;354.4994979;'36.3048834251873,59.6643805185539';'36.3019467341965,59.6653455609833';36.30488343;59.66438052;36.30194673;59.66534556
1061;245.8424287;'36.2984001829838,59.6625108472823';'36.2963924116724,59.6613941825344';36.29840018;59.66251085;36.29639241;59.66139418
